method,MAE,RMSE,KS,Wasserstein,time_sec
linear,528.5275104423346,16440.29660529278,0.002849836102633674,14.291398435917849,0.18470501899719238
ffill,705.1531717672657,21182.750109142828,0.0002119362495761612,26.566918615070737,0.011208772659301758
knn_9,715.6548426516572,14231.074194737836,0.04284220639764891,28.77611024209968,15.93180799484253
poly,2130.3162045007552,48472.47806380148,0.021252967107494025,100.95332638861723,40.57174491882324
knn_1,734.6060117060538,21454.833536006267,0.03976347914547301,25.18895600209195,14.06557011604309
knn_3,667.465588657993,15614.40728768283,0.041861648016276676,26.52583245859264,22.224545001983643
knn_7,697.3028454207858,13658.066050452844,0.04273482536453033,28.33130031981115,17.359190940856934
zeros,8051.057817635923,158243.56576785704,0.04867610489431451,805.1057817633332,0.003343820571899414
knn_5,683.5362987352613,14418.914180513764,0.04249745676500505,28.053442172990742,16.203295946121216
